Source;Target;Weight;In index
Hariton Boris Osipovich;Leo Tolstoy;1;1
Skovoroda Grigorij Savvich;Leo Tolstoy;1;10
Parfenov Nikolaj Ivanovich;Leo Tolstoy;1;1
Bal'mont Konstantin Dmitrievich;Leo Tolstoy;1;10
Leo Tolstoy;Sytin Ivan Dmitrievich;1;10
Bolotina Anis'ja Davydovna;Leo Tolstoy;1;1
Leo Tolstoy;Vokach Aleksandr Andreevich;1;1
Grishko Jurij Dmitrievich;Leo Tolstoy;1;1
Gordon Aaron David;Leo Tolstoy;1;1
Mukushev Aleksej Konstantinovich;Leo Tolstoy;1;1
Lobanov Andrej Mihajlovich;Leo Tolstoy;1;1
Efremov Vladimir Ivanovich;Leo Tolstoy;1;1
Myshkovskaja Lija Moiseevna;Leo Tolstoy;1;1
Leo Tolstoy;Blok Zhan-Rishar;1;1
Reshetnikov Anatolij Georgievich;Leo Tolstoy;1;1
Leo Tolstoy;Tolstoj Sergej L'vovich;1;10
Gjurdzhjan Akop Markarovich;Leo Tolstoy;1;1
Kolomijtseva Anna Andreevna;Leo Tolstoy;1;1
Kozhich Vladimir Platonovich;Leo Tolstoy;1;1
Piskator Ervin;Leo Tolstoy;1;1
Kustavelle Luidzhio;Leo Tolstoy;1;1
Leo Tolstoy;Pujmanova Marija;1;1
Leo Tolstoy;Prokudin-Gorskij Sergej Mihajlovich;1;10
Gagarin Sergej Ivanovich;Leo Tolstoy;1;1
Nurpeisov Abdizhamil Karimovich;Leo Tolstoy;1;1
Ktorov Anatolij Petrovich;Leo Tolstoy;1;1
Kljukvin Aleksandr Vladimirovich;Leo Tolstoy;1;1
Inozemtsev Artem Mihajlovich;Leo Tolstoy;1;1
Noe Shpend Sollaku;Leo Tolstoy;1;1
Leo Tolstoy;Mejer Dmitrij Ivanovich;1;10
Efros Anatolij Vasil'evich;Leo Tolstoy;1;1
Juvachev Ivan Pavlovich;Leo Tolstoy;1;10
Richard Boleslawski;Leo Tolstoy;1;1
Kovalev Vladislav Antonovich;Leo Tolstoy;1;1
Treschev Grigorij Dmitrievich;Leo Tolstoy;1;1
Kovel' Valentina Pavlovna;Leo Tolstoy;1;1
Zavolokin Boris Fedorovich;Leo Tolstoy;1;1
Shilov Fedor Grigor'evich;Leo Tolstoy;1;1
Ljutse Vladimir Vladimirovich;Leo Tolstoy;1;1
Leo Tolstoy;Johann Wolfgang von Goethe;1;10
Illakovich Kazimera;Leo Tolstoy;1;1
Grossman Vasilij Semenovich;Leo Tolstoy;1;1
Leo Tolstoy;Vulf Tomas;1;1
Franzen Dzhonatan;Leo Tolstoy;1;1
Taho-Godi Alibek Alibekovich;Leo Tolstoy;1;1
Nogovitsyn Oleg Mihajlovich;Leo Tolstoy;1;1
Tsjavlovskij Mstislav Aleksandrovich;Leo Tolstoy;1;1
Lopatin Lev Mihajlovich;Leo Tolstoy;1;10
Bocharov Sergej Georgievich;Leo Tolstoy;1;1
Gajlikovskaja Ljudmila Vladimirovna;Leo Tolstoy;1;1
Jazvinskaja Irina Eduardovna;Leo Tolstoy;1;1
Strahov Nikolaj Nikolaevich;Leo Tolstoy;1;1
Koljada Nikolaj Vladimirovich;Leo Tolstoy;1;1
Leo Tolstoy;Gerasimov Sergej Apollinarievich;1;1
Nemirovich-Danchenko Vasilij Ivanovich;Leo Tolstoy;1;10
Hajrullina Roza Vakil'evna;Leo Tolstoy;1;1
Kirjushina Galina Aleksandrovna;Leo Tolstoy;1;1
Gajdeburov Pavel Pavlovich;Leo Tolstoy;1;1
Leo Tolstoy;Rozanov Vasilij Vasil'evich;1;10
Sudejkin Sergej Jur'evich;Leo Tolstoy;1;1
Pierre-Joseph Proudhon;Leo Tolstoy;1;1
Tolstoj-Miloslavskij Nikolaj Dmitrievich;Leo Tolstoy;1;1
Trubetskaja Elizaveta Esperovna;Leo Tolstoy;1;1
Tolstoj Petr Andreevich;Leo Tolstoy;1;10
Rudaks Rihard;Leo Tolstoy;1;1
Leo Tolstoy;Alexandr Ostrovsky;1;10
Marcel Proust;Leo Tolstoy;1;1
Fudzinuma Takasi;Leo Tolstoy;1;1
Pozdeev Osip Alekseevich;Leo Tolstoy;1;1
Chertkov Ivan Dmitrievich;Leo Tolstoy;1;1
Kolhieva Zamira Muratovna;Leo Tolstoy;1;1
Plastov Arkadij Aleksandrovich;Leo Tolstoy;1;1
Leo Tolstoy;Kotten Mihail Fridrihovich;1;1
Sreznevskij Vsevolod Izmailovich;Leo Tolstoy;1;1
Leo Tolstoy;Shekspir Uil'jam;1;10
Leo Tolstoy;Veresaev Vikentij Vikent'evich;1;10
Tolstoj Sergej L'vovich;Leo Tolstoy;1;10
Thomas Hardy;Leo Tolstoy;1;1
Shkapskaja Marija Mihajlovna;Leo Tolstoy;1;1
Holodnaja Vera Vasil'evna;Leo Tolstoy;1;1
Leo Tolstoy;Rainer Maria Rilke;1;10
Frej Vil'jam;Leo Tolstoy;1;10
Diterihs Mihail Konstantinovich;Leo Tolstoy;1;10
Karrik Valerij Vil'jamovich;Leo Tolstoy;1;1
Leo Tolstoy;Merezhkovskij Dmitrij Sergeevich;1;10
Jaroslavskij Emel'jan Mihajlovich;Leo Tolstoy;1;1
Zueva Anastasija Platonovna;Leo Tolstoy;1;1
Aleksandr Solzhenitsyn;Leo Tolstoy;1;1
Kydykeeva Baken;Leo Tolstoy;1;1
Leo Tolstoy;Lundkvist Artur;1;1
Bers Aleksandr Aleksandrovich;Leo Tolstoy;1;10
Mrs. Henry Wood;Leo Tolstoy;1;10
Benevskij Arkadij Semenovich;Leo Tolstoy;1;1
Orudzhev Zaid Melikovich;Leo Tolstoy;1;1
Dolgorukov Nikolaj Aleksandrovich;Leo Tolstoy;1;10
Sharapova Anna Nikolaevna;Leo Tolstoy;1;10
Dobroljubov Nikolaj Aleksandrovich;Leo Tolstoy;1;10
Midzoguti Kendzi;Leo Tolstoy;1;1
Moissi Aleksandr;Leo Tolstoy;1;1
Lebedev Nikolaj Sergeevich;Leo Tolstoy;1;1
Druzhinin Aleksandr Vasil'evich;Leo Tolstoy;1;10
Alabina Inna Il'inichna;Leo Tolstoy;1;1
Ohlopkov Igor' Jur'evich;Leo Tolstoy;1;1
Alexey Gribov;Leo Tolstoy;1;1
Lur'e Osip Davidovich;Leo Tolstoy;1;1
Leo Tolstoy;Shatskij Stanislav Teofilovich;1;1
Smirnov Valerij Alekseevich;Leo Tolstoy;1;10
Karinskij Mihail Ivanovich;Leo Tolstoy;1;1
Simonov Nikolaj Konstantinovich;Leo Tolstoy;1;1
Petrovskij Andrej Pavlovich;Leo Tolstoy;1;1
Peterson Nikolaj Pavlovich;Leo Tolstoy;1;10
Koloshin Sergej Pavlovich;Leo Tolstoy;1;10
Gintsburg Il'ja Jakovlevich;Leo Tolstoy;1;10
Mamedov Mehti Asadulla ogly;Leo Tolstoy;1;1
Gorbunov-Posadov Ivan Ivanovich;Leo Tolstoy;1;10
Nil'son Kristina;Leo Tolstoy;1;10
Doronin Vitalij Dmitrievich;Leo Tolstoy;1;1
Agureeva Polina Vladimirovna;Leo Tolstoy;1;1
Borisov Ivan Fedorovich;Leo Tolstoy;1;1
Levitskij Sergej L'vovich;Leo Tolstoy;1;10
Hmelev Nikolaj Pavlovich;Leo Tolstoy;1;1
Ushakov Sergej Petrovich;Leo Tolstoy;1;10
Bruno Frejndlikh;Leo Tolstoy;1;10
Pogadaev Viktor Aleksandrovich;Leo Tolstoy;1;1
Poljakov Leon;Leo Tolstoy;1;1
Kuz'min Nikolaj Vasil'evich;Leo Tolstoy;1;1
Furmanov Rudol'f Davydovich;Leo Tolstoy;1;1
Malahieva-Mirovich Varvara Grigor'evna;Leo Tolstoy;1;10
Sirota Roza Abramovna;Leo Tolstoy;1;1
Leo Tolstoy;Nikolai Gogol;1;10
Lodyzhenskij Mitrofan Vasil'evich;Leo Tolstoy;1;1
Zaslavskij David Iosifovich;Leo Tolstoy;1;1
Popov Evgenij Ivanovich;Leo Tolstoy;1;10
Félix Vallotton;Leo Tolstoy;1;1
Leo Tolstoy;Heminguej Ernest;1;1
Koval'chuk Anna Leonidovna;Leo Tolstoy;1;1
Leo Tolstoy;Dudko Mihail Dmitrievich;1;1
Vagarshjan Vagarsh Bogdanovich;Leo Tolstoy;1;1
Leo Tolstoy;Katkov Mihail Nikiforovich;1;10
Ahsharumov Nikolaj Dmitrievich;Leo Tolstoy;1;10
Karamzin Nikolaj Mihajlovich;Leo Tolstoy;1;10
Atazhukin Kazi Musabievich;Leo Tolstoy;1;1
Konkka Juhani;Leo Tolstoy;1;1
Makovitskij Dushan Petrovich;Leo Tolstoy;1;10
Leo Tolstoy;Suhotina-Al'bertini Tat'jana Mihajlovna;1;1
Leo Tolstoy;Bernard Shaw;1;10
Ligers Roberts;Leo Tolstoy;1;1
Baratynskij Lev Andreevich;Leo Tolstoy;1;10
Davidovich Arkadij Filippovich;Leo Tolstoy;1;1
Jakunin Sergej Aleksandrovich;Leo Tolstoy;1;1
Toro Genri Devid;Leo Tolstoy;1;10
Leo Tolstoy;Florovskij Georgij Vasil'evich;1;1
Honina Naina Vladimirovna;Leo Tolstoy;1;1
Levit Iezikiil;Leo Tolstoy;1;10
Levenfel'd Rafael';Leo Tolstoy;1;10
Spivak Itshak;Leo Tolstoy;1;1
Artmane Vija Fritsevna;Leo Tolstoy;1;1
Kavalerovich Ezhi;Leo Tolstoy;1;1
Pastrana Julija;Leo Tolstoy;1;10
Tolstoj Fedor Ivanovich;Leo Tolstoy;1;10
Agap'eva Natalija Nikolaevna;Leo Tolstoy;1;1
Shmakov Fedor Ivanovich;Leo Tolstoy;1;1
Makevoj Dzhejms;Leo Tolstoy;1;1
Dil'bazi Mirvarid Pasha kyzy;Leo Tolstoy;1;1
Ivanchenko Aleksandr L'vovich;Leo Tolstoy;1;1
Leo Tolstoy;Lenin Vladimir Il'ich;1;10
Tatarinov Fedor Vasil'evich;Leo Tolstoy;1;1
Golubovich Vasilij Vasil'evich;Leo Tolstoy;1;1
Vejss Frantsisk Rodol'f;Leo Tolstoy;1;10
Grushetskij Vjacheslav Petrovich;Leo Tolstoy;1;10
Ignat'ev Nikon Vasil'evich;Leo Tolstoy;1;1
Mengden Mihail Aleksandrovich;Leo Tolstoy;1;1
Mel'nikov Valentin Viktorovich;Leo Tolstoy;1;1
Ahsharumov Vladimir Dmitrievich;Leo Tolstoy;1;10
Leo Tolstoy;Nikolai Leskov;1;10
Nurmi Paavo;Leo Tolstoy;1;1
Krejtsums Rudol'f;Leo Tolstoy;1;1
Leo Tolstoy;Grushetskij Vasilij Vladimirovich;1;1
Olsuf'ev Dmitrij Adamovich;Leo Tolstoy;1;10
Fernandes Dominik;Leo Tolstoy;1;1
Leo Tolstoy;Houells Uil'jam Din;1;10
Shahovskoj Dmitrij Ivanovich;Leo Tolstoy;1;10
Lisenko Natal'ja Andrianovna;Leo Tolstoy;1;1
Priemyhov Valerij Mihajlovich;Leo Tolstoy;1;1
Mescherskaja Ekaterina Nikolaevna;Leo Tolstoy;1;1
Lebzak Ol'ga Jakovlevna;Leo Tolstoy;1;1
Tronin Vasilij Arkad'evich;Leo Tolstoy;1;1
Hrapchenko Mihail Borisovich;Leo Tolstoy;1;1
Russel' Al'ber;Leo Tolstoy;1;1
Ezepov Vjacheslav Ivanovich;Leo Tolstoy;1;1
Leo Tolstoy;Pierre-Joseph Proudhon;1;1
Lozitskaja Ljudmila Alekseevna;Leo Tolstoy;1;1
Obolenskij Dmitrij Dmitrievich;Leo Tolstoy;1;10
Binshtok Vladimir L'vovich;Leo Tolstoy;1;1
Litvinova Ajvi Val'terovna;Leo Tolstoy;1;1
Kol'tsov Jurij Ernestovich;Leo Tolstoy;1;1
Shekspir Uil'jam;Leo Tolstoy;1;10
Leo Tolstoy;Vas'kin Aleksandr Anatol'evich;1;1
Bikbulatova Zajtuna Islamovna;Leo Tolstoy;1;1
Kadlubovskij Arsenij Petrovich;Leo Tolstoy;1;1
Zagvozdkina Iustina Ivanovna;Leo Tolstoy;1;1
Ge Nikolaj Nikolaevich;Leo Tolstoy;1;10
Malov Arkadij Vasil'evich;Leo Tolstoy;1;1
Snezhina Tat'jana Valer'evna;Leo Tolstoy;1;1
Leo Tolstoy;Jean-Jacques Rousseau;1;10
Leo Tolstoy;Stolypin Petr Arkad'evich;1;10
Glikman Isaak Davydovich;Leo Tolstoy;1;1
Prokof'ev Sergej Sergeevich;Leo Tolstoy;1;1
Stanjuta Aleksandr Aleksandrovich;Leo Tolstoy;1;1
Apraksin Vladimir Stepanovich;Leo Tolstoy;1;1
Engel'gardt Mihail Aleksandrovich;Leo Tolstoy;1;10
Gol'denvejzer Lev Vladimirovich;Leo Tolstoy;1;1
Dahnenko Vasilij Vladimirovich;Leo Tolstoy;1;1
Zverev Nikolaj Andreevich;Leo Tolstoy;1;10
Heinrich Zschokke;Leo Tolstoy;1;10
Vestdejk Simon;Leo Tolstoy;1;1
Fisher Karl Andreevich;Leo Tolstoy;2;1
Katkov Mihail Nikiforovich;Leo Tolstoy;1;10
Kostetskij Vladimir Nikolaevich;Leo Tolstoy;1;10
Nadzhmi Kavi Gibjatovich;Leo Tolstoy;1;1
Zhzhenov Georgij Stepanovich;Leo Tolstoy;1;1
Andrusjak Ivan Mihajlovich;Leo Tolstoy;1;1
Rytheu Jurij Sergeevich;Leo Tolstoy;1;1
Neznamova Nina Fateevna;Leo Tolstoy;1;1
Andreevskaja Varvara Pavlovna;Leo Tolstoy;1;1
Boris Shcherbakov;Leo Tolstoy;1;1
Gusev Nikolaj Nikolaevich;Leo Tolstoy;1;10
Nazarenko Dmitrij Illarionovich;Leo Tolstoy;1;1
Esenin Sergej Aleksandrovich;Leo Tolstoy;1;1
Leo Tolstoy;Frank Norris;1;1
Uhtomskij Esper Esperovich;Leo Tolstoy;1;10
Mogilevskaja Sof'ja Abramovna;Leo Tolstoy;1;1
Konstantinov Konstantin Ivanovich;Leo Tolstoy;1;10
Usov Sergej Alekseevich;Leo Tolstoy;1;10
Parakon'ev Konstantin Iosifovich;Leo Tolstoy;1;1
Stefan Zweig;Leo Tolstoy;1;1
Eleonskij Nikolaj Aleksandrovich;Leo Tolstoy;1;1
Shishkov Matvej Andreevich;Leo Tolstoy;1;1
Hamidov Abdul-Hamid Hamidovich;Leo Tolstoy;1;1
Uvarova Praskov'ja Sergeevna;Leo Tolstoy;1;10
Ash Sholom;Leo Tolstoy;1;1
Gorchakova Elena Sergeevna;Leo Tolstoy;1;10
Krasko Ivan Ivanovich;Leo Tolstoy;1;1
Hir'jakov Aleksandr Modestovich;Leo Tolstoy;1;10
Zarin'sh Marger Ottovich;Leo Tolstoy;1;1
King Martin Ljuter;Leo Tolstoy;1;1
Leo Tolstoy;Jakimah Aleksej Abramovich;1;10
Ignatov Il'ja Nikolaevich;Leo Tolstoy;1;10
Leo Tolstoy;Ludwig van Beethoven;1;10
Mart'janov Mihail Aleksandrovich;Leo Tolstoy;1;1
Svobodin Pavel Matveevich;Leo Tolstoy;1;10
Chehankov Fedor Jakovlevich;Leo Tolstoy;1;1
Jur'ev Sergej Andreevich;Leo Tolstoy;1;10
Leo Tolstoy;Ivan Aleksandrovich Goncharov;1;10
Nostits Grigorij Ivanovich;Leo Tolstoy;1;10
Klimova Aleksandra Ivanovna;Leo Tolstoy;1;1
Stepanova Angelina Iosifovna;Leo Tolstoy;1;1
Zerkalova Dar'ja Vasil'evna;Leo Tolstoy;1;1
Tamen Pedru;Leo Tolstoy;1;1
Volkov Nikolaj Dmitrievich;Leo Tolstoy;1;1
Sjutaev Vasilij Kirillovich;Leo Tolstoy;1;10
Korshunov Aleksandr Viktorovich;Leo Tolstoy;1;1
L'vov Evgenij Vladimirovich;Leo Tolstoy;1;10
Gorskij Aleksandr Konstantinovich;Leo Tolstoy;1;1
Passek Evgenij Vjacheslavovich;Leo Tolstoy;1;1
Kansinos-Assens Rafael';Leo Tolstoy;1;1
Janghazbend Frensis;Leo Tolstoy;1;1
Istomin Vladimir Konstantinovich;Leo Tolstoy;1;10
Pomjanovskij Ezhi;Leo Tolstoy;1;1
Jashvil' Vladimir Vladimirovich;Leo Tolstoy;1;1
Knjazev Evgenij Vladimirovich;Leo Tolstoy;1;1
Kundzich Aleksej Leonardovich;Leo Tolstoy;1;1
Vahterov Aleksandr Konstantinovich;Leo Tolstoy;1;1
Kirsha Faustas;Leo Tolstoy;1;1
Zavadovskaja Vera Nikolaevna;Leo Tolstoy;1;1
Arapova Aleksandra Petrovna;Leo Tolstoy;1;10
Repin Il'ja Efimovich;Leo Tolstoy;1;10
Eversa Datse;Leo Tolstoy;1;1
Aksakov Sergej Timofeevich;Leo Tolstoy;1;10
Leo Tolstoy;Georgii Valentinovich Plekhanov;1;1
Durov Lev Konstantinovich;Leo Tolstoy;1;1
Voronovich Aleksandra Petrovna;Leo Tolstoy;1;1
Danilevskij Grigorij Petrovich;Leo Tolstoy;1;10
Ralph Waldo Emerson;Leo Tolstoy;1;10
Jasinskij Ieronim Ieronimovich;Leo Tolstoy;1;10
Naryshkin Konstantin Pavlovich;Leo Tolstoy;1;1
Abraham Dzheral'd;Leo Tolstoy;1;1
Gurevich Moisej Vul'fovich;Leo Tolstoy;1;1
Parhomenko Ivan Kirillovich;Leo Tolstoy;2;10
Lazarev Aleksandr Sergeevich;Leo Tolstoy;1;1
Kutepov Aleksandr Jakovlevich;Leo Tolstoy;1;1
Rainer Maria Rilke;Leo Tolstoy;1;10
Paul Hervieu;Leo Tolstoy;1;1
Gunchenko Antonina Vasil'evna;Leo Tolstoy;1;1
Yuri Chernov;Leo Tolstoy;1;1
Kramov Aleksandr Grigor'evich;Leo Tolstoy;1;1
Kirov Sergej Mironovich;Leo Tolstoy;1;1
Ivanova Ol'ga Vladimirovna;Leo Tolstoy;1;1
Sofronov Anempodist Ivanovich;Leo Tolstoy;1;1
Obuhova Varvara Aleksandrovna;Leo Tolstoy;1;1
Erdeli Ivan Georgievich;Leo Tolstoy;1;10
Evstigneev Evgenij Aleksandrovich;Leo Tolstoy;1;1
Marsden Ket;Leo Tolstoy;1;1
Klimov Mihail Mihajlovich;Leo Tolstoy;1;1
Leo Tolstoy;Robert Schumann;1;1
Golitsyna Varvara Vasil'evna;Leo Tolstoy;2;10
Vorontsov Semen Mihajlovich;Leo Tolstoy;1;10
Mihajlovskij Nikolaj Konstantinovich;Leo Tolstoy;1;10
Kazembek Aleksandr Kasimovich;Leo Tolstoy;1;1
Mikhail Yefremov;Leo Tolstoy;1;10
Bajkovskij Efim Itskovich;Leo Tolstoy;1;1
Rod Eduar;Leo Tolstoy;1;10
Tolstoj Lev Nikolaevich;Leo Tolstoy;1;10
Mordinov Nikolaj Egorovich;Leo Tolstoy;1;1
Binkis Kazis;Leo Tolstoy;1;1
Bojd Brajan;Leo Tolstoy;1;1
Shmarinov Dementij Alekseevich;Leo Tolstoy;1;1
Kuzminskaja Tat'jana Andreevna;Leo Tolstoy;1;10
Filipp Sharl'-Lui;Leo Tolstoy;1;1
Shtefanik Milan Rastislav;Leo Tolstoy;1;1
Il'inskij Igor' Aleksandrovich;Leo Tolstoy;1;1
Knizhnik-Vetrov Ivan Sergeevich;Leo Tolstoy;1;10
Leo Tolstoy;John Galsworthy;1;1
Stahovich Sof'ja Aleksandrovna;Leo Tolstoy;1;10
Davydov Oleg Viktorovich;Leo Tolstoy;1;1
Leo Tolstoy;Benjamin Franklin;1;10
Okutjur'e Mishel';Leo Tolstoy;1;1
Leo Tolstoy;Tolstaja Aleksandra L'vovna;1;10
Tarhanov Mihail Mihajlovich;Leo Tolstoy;1;1
Vronskij Vasilij Mihajlovich;Leo Tolstoy;1;1
Zom Rudol'f;Leo Tolstoy;1;1
Merkurov Sergej Dmitrievich;Leo Tolstoy;1;1
Apinis Artur Petrovich;Leo Tolstoy;1;1
Rjumin Nikolaj Gavrilovich;Leo Tolstoy;1;10
Pitol' Serhio;Leo Tolstoy;1;1
Janko Mihail Leonidovich;Leo Tolstoy;1;1
Kravchenko Vitalij Vasil'evich;Leo Tolstoy;1;1
Anzimirov Vladimir Aleksandrovich;Leo Tolstoy;1;10
Ermilov Vladimir Vladimirovich;Leo Tolstoy;1;1
Lanzheron Aleksandr Fedorovich;Leo Tolstoy;1;10
Morozov Nikolaj Aleksandrovich;Leo Tolstoy;1;10
Roland Holst Genrietta;Leo Tolstoy;1;1
Ekzempljarskij Vasilij Il'ich;Leo Tolstoy;1;10
Rachinskij Sergej Aleksandrovich;Leo Tolstoy;1;10
Juhananov Boris Jur'evich;Leo Tolstoy;1;1
Vorontsov Mihail Semenovich;Leo Tolstoy;1;10
Vagner Nikolaj Petrovich;Leo Tolstoy;1;10
Bram Otto;Leo Tolstoy;1;1
Turgenev Aleksandr Mihajlovich;Leo Tolstoy;1;10
Lur'e Jakov Solomonovich;Leo Tolstoy;1;н